CSAFP,CBSAFP,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
,40220,40220,310M700US40220,"Roanoke, VA","Roanoke, VA Metro Area",M1,1,G3110,4836988286,72207437,+37.2862262,-079.9469346,4952.781555166761,0.1
310,12980,12980,310M700US12980,"Battle Creek, MI","Battle Creek, MI Metro Area",M1,1,G3110,1829201515,31257733,+42.2429896,-085.0123853,1860.2192090694193,0.1
474,13020,13020,310M700US13020,"Bay City, MI","Bay City, MI Metro Area",M1,1,G3110,1145834942,487713372,+43.6997112,-083.9787007,1634.6852142681607,0.1
288,13060,13060,310M700US13060,"Bay City, TX","Bay City, TX Micro Area",M2,2,G3110,2831173989,1345214023,+28.7747601,-096.0015316,4253.530259030483,0.1
339,13100,13100,310M700US13100,"Beatrice, NE","Beatrice, NE Micro Area",M2,2,G3110,2205292876,21993057,+40.2552337,-096.6834528,2262.984036478651,0.1
,13140,13140,310M700US13140,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",M1,1,G3110,5441842224,747539443,+30.0759278,-094.2027049,6258.510038416074,0.1
376,13180,13180,310M700US13180,"Beaver Dam, WI","Beaver Dam, WI Micro Area",M2,2,G3110,2268049933,81331198,+43.4296276,-088.7019394,2348.6175992609883,0.1
,13220,13220,310M700US13220,"Beckley, WV","Beckley, WV Metro Area",M1,1,G3110,3281319080,27863210,+37.9056593,-081.1637481,3328.0875174742223,0.1
144,13260,13260,310M700US13260,"Bedford, IN","Bedford, IN Micro Area",M2,2,G3110,1163282516,7207557,+38.8398148,-086.4878198,1169.6147073203092,0.1
,13300,13300,310M700US13300,"Beeville, TX","Beeville, TX Micro Area",M2,2,G3110,2279809489,246409,+28.4160769,-097.7425858,2341.47579030626,0.1
198,13340,13340,310M700US13340,"Bellefontaine, OH","Bellefontaine, OH Micro Area",M2,2,G3110,1187522540,21594566,+40.3875532,-083.7663430,1210.3977221784282,0.1
,13380,13380,310M700US13380,"Bellingham, WA","Bellingham, WA Metro Area",M1,1,G3110,5459563210,1028031788,+48.8426531,-121.8364325,7554.742879317611,0.1
,13420,13420,310M700US13420,"Bemidji, MN","Bemidji, MN Micro Area",M2,2,G3110,6486994903,1425755980,+47.8795077,-095.0050500,7974.8606999424155,0.1
,13460,13460,310M700US13460,"Bend, OR","Bend, OR Metro Area",M1,1,G3110,20145535129,141944215,+44.1538371,-120.8870717,24142.086353730636,0.1
,13540,13540,310M700US13540,"Bennington, VT","Bennington, VT Micro Area",M2,2,G3110,1746266392,6896313,+43.0353277,-073.1114959,1807.7433460673155,0.1
266,13660,13660,310M700US13660,"Big Rapids, MI","Big Rapids, MI Micro Area",M2,2,G3110,1437843579,41665709,+43.6352949,-085.3327509,1478.994846376229,0.1
,13700,13700,310M700US13700,"Big Spring, TX","Big Spring, TX Micro Area",M2,2,G3110,2333034781,8846149,+32.3034298,-101.4387208,2449.259031027279,0.1
,13740,13740,310M700US13740,"Billings, MT","Billings, MT Metro Area",M1,1,G3110,16777475576,99441250,+45.6371402,-108.8323611,18090.578243260978,0.1
,13780,13780,310M700US13780,"Binghamton, NY","Binghamton, NY Metro Area",M1,1,G3110,3171226605,36122815,+42.1639276,-076.0229431,3270.1864194263558,0.1
142,13820,13820,310M700US13820,"Birmingham, AL","Birmingham, AL Metro Area",M1,1,G3110,13674749062,232896355,+33.4623718,-086.8143378,13896.960551195893,0.1
,13860,13860,310M700US13860,"Bishop, CA","Bishop, CA Micro Area",M2,2,G3110,26410783052,77280938,+36.5621604,-117.4042092,31738.603986362286,0.1
,13900,13900,310M700US13900,"Bismarck, ND","Bismarck, ND Metro Area",M1,1,G3110,11087702722,165098565,+46.8870310,-100.9795920,11560.300222037187,0.1
292,13940,13940,310M700US13940,"Blackfoot, ID","Blackfoot, ID Micro Area",M2,2,G3110,5422741966,68632371,+43.2163568,-112.3992058,6083.191004555874,0.1
,13980,13980,310M700US13980,"Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA Metro Area",M1,1,G3110,3767168028,45434260,+37.1213643,-080.5315166,3840.697081534858,0.1
145,14010,14010,310M700US14010,"Bloomington, IL","Bloomington, IL Metro Area",M1,1,G3110,3064597289,7804856,+40.4945594,-088.8445391,3071.824248774646,0.1
144,14020,14020,310M700US14020,"Bloomington, IN","Bloomington, IN Metro Area",M1,1,G3110,2019718827,50076704,+39.2417362,-086.6717544,2068.193297297027,0.1
146,14100,14100,310M700US14100,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA Micro Area",M2,2,G3110,1251636166,18574480,+41.0455174,-076.4042599,1294.1725570472195,0.1
,14140,14140,310M700US14140,"Bluefield, WV-VA","Bluefield, WV-VA Micro Area",M2,2,G3110,2428769079,7362672,+37.2484625,-081.3593755,2449.2661363063194,0.1
