STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
13,311,92094,01936421,1331192094,0600000US1331192094,Mossy Creek,Mossy Creek CCD,22,Z5,G4040,S,109603687,1219822,+34.5515601,-083.6880532,110.98693500404244,0.1
13,311,91446,01936311,1331191446,0600000US1331191446,Helen,Helen CCD,22,Z5,G4040,S,201839409,658521,+34.7380006,-083.7219387,202.7860196281542,0.1
13,013,90162,01936092,1301390162,0600000US1301390162,Auburn,Auburn CCD,22,Z5,G4040,S,106751069,861948,+34.0292185,-083.8104503,107.75703875059261,0.1
13,013,92850,01936556,1301392850,0600000US1301392850,Statham,Statham CCD,22,Z5,G4040,S,96609071,1115439,+33.9911363,-083.5974100,97.88407288789625,0.1
13,007,92010,01936407,1300792010,0600000US1300792010,Milford,Milford CCD,22,Z5,G4040,S,415040219,4467485,+31.3164297,-084.5480892,419.73859528882883,0.1
13,197,90462,01936143,1319790462,0600000US1319790462,Buena Vista,Buena Vista CCD,22,Z5,G4040,S,433453016,1637188,+32.2709492,-084.5294068,435.3246941551557,0.1
13,207,90822,01936206,1320790822,0600000US1320790822,Culloden-Bolingbroke,Culloden-Bolingbroke CCD,22,Z5,G4040,S,545417775,1631623,+32.9315856,-083.9126014,547.7320630577617,0.1
13,293,92671,01936291,1329392671,0600000US1329392671,Salem,Salem CCD,22,Z5,G4040,S,237237396,1998383,+32.8148571,-084.2336859,239.43758346334795,0.1
13,293,92902,01936587,1329392902,0600000US1329392902,Sunset Village,Sunset Village CCD,22,Z5,G4040,S,211731872,3490086,+32.9098494,-084.4437521,215.35459758002617,0.1
13,031,90426,01936137,1303190426,0600000US1303190426,Brooklet,Brooklet CCD,22,Z5,G4040,S,286765654,3317797,+32.3582117,-081.6801739,291.65033801883857,0.1
13,031,92472,01936488,1303192472,0600000US1303192472,Register,Register CCD,22,Z5,G4040,S,179956522,6868714,+32.3232081,-081.8698984,187.75092870933395,0.1
13,031,92400,01936475,1303192400,0600000US1303192400,Portal,Portal CCD,22,Z5,G4040,S,280049801,5908429,+32.5649759,-081.8950448,287.3471244037482,0.1
13,083,92682,01936526,1308392682,0600000US1308392682,Sand Mountain,Sand Mountain CCD,22,Z5,G4040,S,102368296,0,+34.9221023,-085.5570212,102.33024755897208,0.1
13,083,93084,01936612,1308393084,0600000US1308393084,Trenton,Trenton CCD,22,Z5,G4040,S,244115205,268132,+34.8519951,-085.4854812,244.30193922970233,0.1
13,131,92216,01936361,1313192216,0600000US1313192216,Northwest Grady,Northwest Grady CCD,22,Z5,G4040,S,121089259,1234081,+31.0388038,-084.3154525,122.42350253121243,0.1
13,275,91974,01936401,1327591974,0600000US1327591974,Meigs,Meigs CCD,22,Z5,G4040,S,73226970,1360744,+31.0461591,-084.0632762,74.67261775013192,0.1
13,275,93012,01936584,1327593012,0600000US1327593012,Thomasville,Thomasville CCD,22,Z5,G4040,S,533747588,7984579,+30.7880431,-083.9676202,542.4241775833838,0.1
