"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13121002600","Census Tract 26, Fulton County, Georgia","203","714",
"1400000US13121002800","Census Tract 28, Fulton County, Georgia","432","1747",
"1400000US13121002900","Census Tract 29, Fulton County, Georgia","247","1569",
"1400000US13121003000","Census Tract 30, Fulton County, Georgia","368","2682",
"1400000US13121003100","Census Tract 31, Fulton County, Georgia","375","1731",
"1400000US13121003200","Census Tract 32, Fulton County, Georgia","312","1958",
"1400000US13121003500","Census Tract 35, Fulton County, Georgia","360","1865",
"1400000US13121003600","Census Tract 36, Fulton County, Georgia","205","1043",
"1400000US13121003700","Census Tract 37, Fulton County, Georgia","516","810",
"1400000US13121003800","Census Tract 38, Fulton County, Georgia","1550","4076",
"1400000US13121003900","Census Tract 39, Fulton County, Georgia","416","1189",
"1400000US13121004000","Census Tract 40, Fulton County, Georgia","328","2221",
"1400000US13121004100","Census Tract 41, Fulton County, Georgia","443","1799",
"1400000US13121004200","Census Tract 42, Fulton County, Georgia","521","2260",
"1400000US13121004300","Census Tract 43, Fulton County, Georgia","582","2889",
"1400000US13121004400","Census Tract 44, Fulton County, Georgia","307","728",
"1400000US13121004800","Census Tract 48, Fulton County, Georgia","153","487",
"1400000US13121004900","Census Tract 49, Fulton County, Georgia","228","2333",
"1400000US13121005000","Census Tract 50, Fulton County, Georgia","309","2147",
"1400000US13121005200","Census Tract 52, Fulton County, Georgia","430","4033",
"1400000US13121005300","Census Tract 53, Fulton County, Georgia","347","3232",
"1400000US13121005501","Census Tract 55.01, Fulton County, Georgia","595","2594",
"1400000US13121005502","Census Tract 55.02, Fulton County, Georgia","496","2128",
"1400000US13121005700","Census Tract 57, Fulton County, Georgia","241","1010",
"1400000US13121005800","Census Tract 58, Fulton County, Georgia","335","1289",
"1400000US13121006000","Census Tract 60, Fulton County, Georgia","509","3002",
"1400000US13121006100","Census Tract 61, Fulton County, Georgia","574","3620",
"1400000US13121006200","Census Tract 62, Fulton County, Georgia","536","1109",
"1400000US13121006300","Census Tract 63, Fulton County, Georgia","238","1134",
"1400000US13121006400","Census Tract 64, Fulton County, Georgia","383","1387",
"1400000US13121006500","Census Tract 65, Fulton County, Georgia","646","4340",
"1400000US13121006601","Census Tract 66.01, Fulton County, Georgia","316","1540",
"1400000US13121006602","Census Tract 66.02, Fulton County, Georgia","252","827",
"1400000US13121006700","Census Tract 67, Fulton County, Georgia","479","3494",
"1400000US13121006801","Census Tract 68.01, Fulton County, Georgia","127","1612",
"1400000US13121006802","Census Tract 68.02, Fulton County, Georgia","366","1620",
"1400000US13121006900","Census Tract 69, Fulton County, Georgia","623","3648",
"1400000US13121007001","Census Tract 70.01, Fulton County, Georgia","472","3558",
"1400000US13121007002","Census Tract 70.02, Fulton County, Georgia","480","2452",
"1400000US13121007100","Census Tract 71, Fulton County, Georgia","408","2845",
"1400000US13121007200","Census Tract 72, Fulton County, Georgia","432","1871",
"1400000US13121007300","Census Tract 73, Fulton County, Georgia","620","6103",
"1400000US13121007400","Census Tract 74, Fulton County, Georgia","369","2858",
"1400000US13121007500","Census Tract 75, Fulton County, Georgia","460","3694",
"1400000US13121007602","Census Tract 76.02, Fulton County, Georgia","329","2532",
"1400000US13121007603","Census Tract 76.03, Fulton County, Georgia","691","5061",
"1400000US13121007604","Census Tract 76.04, Fulton County, Georgia","481","2206",
"1400000US13121007703","Census Tract 77.03, Fulton County, Georgia","556","3521",
"1400000US13121007704","Census Tract 77.04, Fulton County, Georgia","783","3986",
"1400000US13121007705","Census Tract 77.05, Fulton County, Georgia","506","3537",
"1400000US13121007706","Census Tract 77.06, Fulton County, Georgia","905","6505",
"1400000US13121007802","Census Tract 78.02, Fulton County, Georgia","794","8199",
"1400000US13121007805","Census Tract 78.05, Fulton County, Georgia","537","3407",
"1400000US13121007806","Census Tract 78.06, Fulton County, Georgia","598","5487",
"1400000US13121007807","Census Tract 78.07, Fulton County, Georgia","639","3223",
"1400000US13121007808","Census Tract 78.08, Fulton County, Georgia","636","3662",
"1400000US13121007900","Census Tract 79, Fulton County, Georgia","479","4462",
"1400000US13121008000","Census Tract 80, Fulton County, Georgia","668","4809",
"1400000US13121008101","Census Tract 81.01, Fulton County, Georgia","240","964",
"1400000US13121008102","Census Tract 81.02, Fulton County, Georgia","799","6196",
